model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,69,0.67686,0.42007,0.63465,0.67857,0.6558755585502385,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.67691,0.41424,0.67714,0.67038,0.673743043813321,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.65158,0.40741,0.63019,0.66847,0.6487658190745471,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.65295,0.41024,0.59322,0.71366,0.6478902197595433,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.65119,0.41421,0.68837,0.62401,0.6546118711039068,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.6716,0.41582,0.68897,0.64412,0.6657905413733013,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.66394,0.41593,0.65601,0.66757,0.661739518124585,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.67617,0.41752,0.67579,0.6867,0.681201319642213,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.64787,0.40503,0.6106,0.67768,0.642393591454775,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.62556,0.39444,0.68693,0.60564,0.6437288273744217,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.68939,0.42444,0.68133,0.70396,0.6924601589553866,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.65414,0.3961,0.62229,0.67846,0.6491622116466276,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,81,0.65187,0.40103,0.68693,0.6196,0.6515301263647589,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,82,0.67923,0.41149,0.64275,0.69368,0.667244554521623,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.66095,0.40992,0.64237,0.69076,0.665686769031778,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.66938,0.40976,0.68531,0.66571,0.6753678259384203,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,85,0.69308,0.421,0.67946,0.68948,0.684433329144678,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,86,0.6788,0.4218,0.71066,0.64325,0.6752768573977035,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.65847,0.4062,0.68681,0.66,0.6731381560868474,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.66523,0.40729,0.69913,0.63714,0.6666971318665639,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.65987,0.40498,0.67883,0.66856,0.6736558602923626,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.65456,0.40481,0.68789,0.64502,0.6657655922750481,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.65554,0.39964,0.66082,0.68327,0.6718575116244657,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,92,0.65582,0.40433,0.62972,0.67367,0.6509540082395515,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.63953,0.39554,0.64005,0.66013,0.6499349420844421,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.64786,0.40056,0.67521,0.63304,0.6534453482127625,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.64907,0.39898,0.64177,0.66706,0.6541706657085685,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.64922,0.39353,0.64354,0.68204,0.6622309051127339,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.65527,0.39808,0.69898,0.63482,0.6653568505018254,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.64186,0.39018,0.63765,0.67048,0.6536530344838405,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,99,0.64314,0.39052,0.68465,0.65117,0.6674904410768909,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.6479,0.39103,0.6827,0.6441,0.6628385137167148,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.7042792509315241,0.43723306896036995,0.6427678010890671,0.6968714092243504,0.6687270720358288,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
