model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,92,0.6456,0.4058,0.57135,0.71847,0.6365195678461827,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.64496,0.40988,0.57878,0.71401,0.639322253110993,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.64519,0.41091,0.55878,0.72645,0.6316779580303669,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.65014,0.41538,0.59108,0.69452,0.6386385836958318,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.63243,0.40126,0.582,0.69199,0.6322470035081654,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.64142,0.40401,0.5866,0.71837,0.6458322290928942,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.63348,0.40203,0.58225,0.69904,0.6353222767674489,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,99,0.6407,0.40365,0.60093,0.7065,0.6494528120047347,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.63862,0.40339,0.60175,0.68929,0.6425521401345872,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.6842304220965002,0.4310976387509058,0.6044007767475595,0.6990895487324058,0.6483059490511532,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
