model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,64,0.68097,0.42,0.68123,0.68756,0.6843803633861406,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,65,0.64699,0.39698,0.64128,0.67791,0.6590864466826923,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,66,0.63482,0.38308,0.60585,0.65026,0.6272699381418607,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,67,0.63048,0.39514,0.63112,0.64595,0.6384488931690208,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,68,0.6673,0.40952,0.62885,0.6613,0.6446669069483046,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,69,0.62308,0.38174,0.60873,0.64351,0.6256370061644527,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,70,0.60284,0.36632,0.59344,0.66981,0.629316519136648,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,71,0.62533,0.38363,0.64016,0.63792,0.6390380370550832,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,72,0.65277,0.37922,0.65563,0.6473,0.6514383719765057,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,73,0.64654,0.39135,0.64224,0.6457,0.6439653524227495,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,74,0.64273,0.39082,0.64957,0.64604,0.6478001911063918,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,75,0.62953,0.3848,0.65945,0.59949,0.628042131475187,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,76,0.62638,0.37943,0.59687,0.67645,0.6341732031220477,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,77,0.60279,0.36976,0.59112,0.61269,0.6017117531831421,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,78,0.67938,0.40037,0.75663,0.60917,0.6749396648113376,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,79,0.65126,0.3946,0.65087,0.66488,0.6578004113238397,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,80,0.65112,0.38981,0.68106,0.64807,0.6641555817710351,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,81,0.63385,0.38602,0.64729,0.64235,0.6448105385994194,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,82,0.63796,0.38814,0.65172,0.64633,0.6490138093288786,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,83,0.62918,0.38229,0.63304,0.66227,0.6473251975197849,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,84,0.62478,0.38439,0.65655,0.61369,0.6343969163302727,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,85,0.64174,0.38995,0.63897,0.67142,0.6547932102651465,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,86,0.65013,0.38973,0.6342,0.67284,0.6529488431871611,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,87,0.62,0.37316,0.6728,0.59684,0.6325477332152165,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,88,0.63729,0.38719,0.6199,0.6536,0.636304106791805,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,89,0.6477,0.39292,0.63088,0.66489,0.647438670751254,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,90,0.62892,0.38669,0.60142,0.66885,0.6333452998176502,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,91,0.60523,0.38176,0.59534,0.6585,0.6253292126582137,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,92,0.61023,0.37877,0.62345,0.64632,0.6346790426607696,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,93,0.60902,0.37904,0.59899,0.65207,0.6244039603211481,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,94,0.62238,0.38542,0.63689,0.64097,0.6389234866099268,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,95,0.62278,0.38463,0.63441,0.65669,0.6453577614432302,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,96,0.61159,0.37719,0.61809,0.64986,0.6335769823726223,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,97,0.61147,0.37452,0.61117,0.63569,0.6231889022018324,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,98,0.60758,0.37325,0.61908,0.63025,0.6246150656747018,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,99,0.60665,0.37367,0.61174,0.64144,0.6262380593365469,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,100,0.60793,0.37558,0.618,0.63426,0.6260244358195374,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,100,0.6813722160003582,0.41978921080035553,0.6823602897959132,0.6877793492223506,0.6850591030078348,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
