model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,82,0.58427,0.36291,0.59378,0.59258,0.5931793931010879,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.56976,0.35952,0.5565,0.63244,0.5920447793828182,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.57664,0.36131,0.56337,0.62228,0.5913615039846571,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,85,0.58178,0.36534,0.56793,0.63193,0.5982231341984912,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,86,0.59177,0.3695,0.57951,0.61574,0.5970759044546353,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.58343,0.36407,0.58854,0.61143,0.5997666811665293,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.58924,0.3653,0.58033,0.61028,0.5949283012904352,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.59407,0.37198,0.58211,0.6311,0.6056158801851239,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.59671,0.37063,0.57461,0.64471,0.6076449383257818,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.59801,0.37201,0.57191,0.6382,0.603239312128151,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,92,0.59168,0.36648,0.56949,0.64489,0.6048492335178405,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.59117,0.36868,0.57577,0.64429,0.608105918233031,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.59297,0.36935,0.56852,0.65282,0.6077606995590025,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.58355,0.36423,0.56232,0.63492,0.5964187872100861,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.58482,0.36665,0.55914,0.63141,0.5930814957787635,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.59706,0.37132,0.56487,0.63849,0.5994280120657164,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.59339,0.37096,0.5778,0.62774,0.6017356072792259,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,99,0.59504,0.37128,0.58357,0.62427,0.6032342758969704,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.59563,0.37225,0.57874,0.62669,0.6017613143852386,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.594093647031593,0.3810394342078747,0.5618290722758682,0.5969707666850523,0.5788670670215691,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
