model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,81,0.62367,0.38122,0.58521,0.64347,0.6129587503657478,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,82,0.65697,0.41006,0.59212,0.67785,0.6320913753863224,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.64794,0.40303,0.58015,0.70724,0.6374218939088875,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.63158,0.38975,0.57627,0.67249,0.6206730073027478,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,85,0.63525,0.396,0.55979,0.69872,0.62158658858442,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,86,0.64068,0.40912,0.61081,0.66714,0.637733531671319,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.64061,0.40401,0.58656,0.68218,0.6307667462201627,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.62722,0.39052,0.59216,0.65818,0.623427017930624,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.63342,0.39837,0.62148,0.65286,0.6367836414138794,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.63078,0.39512,0.58478,0.69104,0.633484929221494,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.62318,0.39557,0.58007,0.67143,0.6224153417494026,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,92,0.65116,0.41027,0.62418,0.64644,0.6351150134574969,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.64718,0.41177,0.64299,0.6571,0.6499684314157865,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.64055,0.40578,0.65066,0.63813,0.6443340898046661,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.63286,0.40224,0.63418,0.64691,0.6404817519451089,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.63618,0.40267,0.63942,0.64238,0.6408965823056318,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.64001,0.40603,0.64426,0.63573,0.6399665775508872,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.63871,0.40163,0.60533,0.70551,0.6515919079363983,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,99,0.63446,0.3974,0.62837,0.65046,0.6392242130692591,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.63436,0.40506,0.63419,0.65389,0.6438893533005373,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.6467260252897832,0.4112063146096633,0.6448202852268795,0.6552991767277481,0.6500175013316541,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
