model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,86,0.66381,0.42238,0.58543,0.72864,0.649231342622045,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.65868,0.41902,0.59973,0.69244,0.6427591434558589,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.66339,0.41887,0.6081,0.68976,0.6463610189075505,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.6621,0.41773,0.6183,0.66783,0.6421112780196075,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.66617,0.42312,0.56217,0.72571,0.6335565280921874,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.65059,0.41723,0.63151,0.63091,0.6312098574162075,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,92,0.65554,0.41542,0.64117,0.6395,0.6403339111553793,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.6563,0.41546,0.66666,0.59286,0.6275978906245017,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.6458,0.41228,0.58391,0.66563,0.6220977532526993,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.66077,0.41934,0.66423,0.62236,0.6426137041321303,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.66398,0.42271,0.6305,0.62774,0.6291169729140472,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.66473,0.42133,0.65429,0.635,0.6445006941800181,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.66398,0.42076,0.63427,0.64922,0.6416579317325093,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,99,0.66544,0.42175,0.60699,0.69878,0.649658779417011,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.65996,0.42254,0.59976,0.6868,0.6403357293863944,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.6844625363050275,0.43237950671690095,0.6108556339830568,0.7164011630678297,0.6594318260400523,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
