model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,85,0.67971,0.40306,0.72154,0.65454,0.6864089175042973,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,86,0.67511,0.41012,0.67481,0.69051,0.68256973178399,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.66985,0.40005,0.66616,0.68714,0.6764873751565236,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.66182,0.3872,0.64903,0.70585,0.6762485614957218,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.67088,0.39873,0.65996,0.71385,0.6858480372098864,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.67822,0.40653,0.69344,0.67907,0.6861797739902177,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.64328,0.38513,0.68678,0.64604,0.665787354931149,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,92,0.6694,0.4043,0.68706,0.68719,0.6871249938506915,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.67249,0.4054,0.69019,0.68854,0.6893640126778343,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.67015,0.40101,0.70263,0.6863,0.6943690020370397,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.67028,0.40557,0.6968,0.67896,0.687764330987463,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.68303,0.41468,0.71903,0.68254,0.7003099897966564,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.67966,0.41098,0.71511,0.67252,0.69316140066106,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.68517,0.41072,0.71947,0.67571,0.6969037309876167,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.7103946997089039,0.42950179938237704,0.6314364611821686,0.7299259355509357,0.6771185259341167,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
